"node_from","node_to","weight","management"
11,105,2.52516980553776e-05,"E"
77,317,0.000143341742369215,"E"
77,202,1.60485465303176e-05,"E"
78,123,0.000471705751914849,"E"
26,183,0.00113990172308175,"E"
20,123,9.78191651436322e-05,"E"
20,126,5.71291495313309e-05,"E"
26,318,0.00802428245545029,"E"
76,276,3.32573673623976e-06,"E"
26,144,0.000756675757860444,"E"
76,322,1.4704466398573e-06,"E"
20,279,4.77895157953623e-06,"E"
61,278,0.000119393948831007,"E"
61,190,0.00031302247724606,"E"
61,318,0.00126941131088719,"E"
61,186,0.000421590549887728,"E"
61,282,0.000119393948831007,"E"
61,203,0.000119393948831007,"E"
61,317,0.00105258447635212,"E"
26,232,0.0037266769883256,"E"
61,232,0.000589546286196632,"E"
61,276,0.000537272769739533,"E"
95,295,0.00376665474355783,"E"
95,112,0.0317839421905801,"E"
95,126,0.0130715799300161,"E"
11,232,0.000127665083537267,"E"
61,343,0.0205550564526141,"E"
99,358,0.0323157466486823,"E"
11,349,7.42408531741592e-05,"E"
28,363,0.0264948058908815,"E"
98,358,0.00654496134656857,"E"
78,348,6.27138711917989e-05,"E"
77,348,4.76856624269439e-05,"E"
66,354,9.73535036733219e-09,"E"
38,343,0.0027992029833334,"E"
97,358,0.0057268411782475,"E"
44,357,0.00599877816562282,"E"
19,354,2.33891792575156e-06,"E"
44,358,0.00793074079522525,"E"
97,351,9.95697485288881e-05,"E"
26,361,0.0013000676945406,"E"
33,341,0.00021194303069962,"E"
28,344,0.000160620733576355,"E"
358,376,0.0241950051933881,"E"
358,377,0.03485156001357,"E"
358,368,0.0105176433039192,"E"
343,367,0.0109013923926473,"E"
358,367,0.00357407634706324,"E"
358,378,0.00734081814964825,"E"
358,374,0.0184236612703353,"E"
358,369,0.0148344304242149,"E"
358,365,0.0381660445975077,"E"
358,381,0.0353616535536705,"E"
358,380,0.00434844664578329,"E"
361,374,0.000562260450324046,"E"
358,370,0.0163338839142514,"E"
341,381,0.00823511644321789,"E"
343,377,0.106301739053785,"E"
343,380,0.0132633213678062,"E"
343,376,0.0737978766939294,"E"
361,372,4.02409895938633e-05,"E"
26,445,0.0899796075059444,"E"
26,438,0.0232651313678506,"E"
26,422,0.00350674525242844,"E"
26,467,0.00406677846662858,"E"
26,470,0.049188614253774,"E"
98,470,0.00755731114302663,"E"
28,470,0.0181623450985341,"E"
28,421,0.000694417540140518,"E"
28,439,0.00878707087977973,"E"
98,445,0.0138244164989393,"E"
19,469,7.4080912930933e-05,"E"
99,412,0.000976511980282661,"E"
77,417,2.57897166359648e-05,"E"
77,445,0.00193845609589775,"E"
26,421,0.00188067324608777,"E"
77,470,0.00105968420836568,"E"
77,471,0.000182738799723704,"E"
26,437,0.00536657470038524,"E"
26,447,0.00572283740954418,"E"
44,467,0.000757111600222486,"E"
26,415,0.0131005828774446,"E"
14,421,0.00047498724512352,"E"
86,410,1.64332594156531e-06,"E"
64,463,2.15327327115547e-05,"E"
64,445,0.00230265087755126,"E"
64,435,0.00022389296964936,"E"
77,425,0.000136359183804804,"E"
77,422,7.55468033229785e-05,"E"
